X,Y,Z,MaximumInscribedSphereRadius
29.4414291382,3.86979818344,60.01404953,2.02702490047
29.4339141846,3.9686729908,60.0272331238,2.0271695022
29.4249591827,4.06808853149,60.0339241028,2.02524645077
29.4186649323,4.16735601425,60.0466423035,2.02341776509
29.4157676697,4.26703500748,60.0554847717,2.02192986956
29.4102249146,4.36633205414,60.0664901733,2.0205670362
29.4057655334,4.46565008163,60.0781860352,2.01912988818
29.3999042511,4.56512975693,60.0873451233,2.01728111529
29.3939189911,4.66447496414,60.0981941223,2.01488226308
29.3870220184,4.76397132874,60.1064949036,2.01233495081
29.380065918,4.86359834671,60.1130905151,2.01104835123
29.3732776642,4.96314477921,60.1208763123,2.00778132375
29.3650970459,5.06223964691,60.132358551,2.00651511297
29.3550415039,5.16156673431,60.1387138367,2.0041653005
29.344171524,5.26097631454,60.1421890259,2.00134629466
29.3335075378,5.36028385162,60.1482772827,1.99643756417
29.3243694305,5.45990180969,60.151096344,1.99126332795
29.3122062683,5.5590877533,60.1564064026,1.98464858503
29.3044929504,5.65872859955,60.1612854004,1.97691651508
29.2935371399,5.75817060471,60.161945343,1.96907063393
29.2792644501,5.85724163055,60.1629447937,1.96235187528
29.2692985535,5.95675373077,60.16563797,1.95628084587
29.25623703,6.05597257614,60.1643180847,1.94916549977
29.2436981201,6.15525770187,60.1650505066,1.94407307389
29.2259922028,6.2537560463,60.1661567688,1.94100644748
29.2047138214,6.35153484344,60.1662788391,1.9347338176
29.1836299896,6.4493598938,60.1661300659,1.92927327796
29.1610298157,6.54676389694,60.1615867615,1.92501023782
29.139043808,6.64440870285,60.1610641479,1.92327274715
29.1164150238,6.74189996719,60.1627388,1.92227178766
29.0910797119,6.83871984482,60.160358429,1.92083084247
29.0660915375,6.93552017212,60.1577911377,1.91891055503
29.0472126007,7.03384017944,60.1587867737,1.91967714783
29.023475647,7.13104963303,60.1575584412,1.9202396341
28.9998779297,7.22816991806,60.1523895264,1.92192224578
28.9813499451,7.32648515701,60.1492958069,1.92589521686
28.9614925385,7.42455101013,60.1489982605,1.92975343483
28.9424495697,7.52277469635,60.1466560364,1.93337378617
28.9252967834,7.62122488022,60.1411705017,1.94015175801
28.9058628082,7.71917486191,60.1344642639,1.94691965566
28.8825244904,7.81646108627,60.1301193237,1.95201836557
28.8604831696,7.91382884979,60.1234741211,1.95711707548
28.8436431885,8.01224136353,60.1166954041,1.96316573154
28.8249855042,8.11029911041,60.1100502014,1.96940505036
28.8123340607,8.20911979675,60.0996170044,1.97589914738
28.7920837402,8.30688476562,60.0926361084,1.9811017221
28.7705440521,8.40372848511,60.0796432495,1.98582954026
28.7512435913,8.5011882782,60.0674514771,1.98964205473
28.7407512665,8.59982395172,60.054271698,1.99275485965
28.7269515991,8.69764995575,60.0383110046,1.99208317693
